index,text,ethnic_keyword,name,class
408,@Miguel_worgy @AlanStac But you’ll hear them saying “as LonG As tHEY don’T BrING thAT GaY sHIt NEar ME”. Fucking donkeys https://t.co/k5hKl84PKD,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,1
1212,@Shemunator @djbantiben1 @LouieDi13 Wt is Dia to watch on gay porn😎,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,0
835,"RT @ErulosG: STOP LIKING OR RETWEETING LGBT MATTER!!!!

UNA DEY LOOSE FOCUS! COCONUT HEAD PIPU🙄🙄🙄🤬🤬🤬

#EndSARS #EndPoliceBrutalityinNigera…",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,2
803,"Gay baboon terrorises villagers in #SouthAfrica, rapes 5 men https://t.co/gPHgnZ6Y9W",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,3
281,"@oil_shaeikh @AminaJMohammed @free_equal Stupidity runs in your blood.
A bastard that calls people of other religions ""arne""
So you feel your religion is better than others? Then you must be very mad.
Even gays are better than  you that sleep with your cows.
""ARNE"" indeed, fool.",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,2
1219,"RT @aspirin_n: Dear @netflix
Jesus was not gay or a drunk. This is disrespectful.
No one would do this to any other religion bc they know f…",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,2
157,"@FEMMY466 Pregnancy is pathological? HOW?!
And since when did reproduction give rise to parasites? This is a talking point from a pro-choice lesbian dance therapy professor, not science or medicine or embryology",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,0
68,"@lanthimos_fan Would rather watch the lesbian back passer, plus don’t need some of that La Fabrica scum 👍",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,1
32,"Lol @kmerit: No, buh RETARD day""@Priscii_G: Is today STUPID QUESTION DAY???????? @amanzecares: @Priscii_G babe are you a lesbian?""""""",lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,Manu,1
145,"RT @MirrorPolitics: Tory councillor suspended over 'Muslim parasites' post the day after visiting a mosque with party's Deputy chairman

ht…",muslim|muslims|islam|islamic,Manu,0
379,"@jeyleekrane All this groups alqeada ,isis,bolo Haram all are groups with that pretend to be Muslim but they re mostly unbebealivers they just use the name of Islam nd do what ever shit they like",muslim|muslims|islam|islamic,Manu,0
903,"Happy celebration to all our Muslim customers 😀
.
.
.
.
.
#sweetpeaedibles #sweetcakesng #sweetpeatrainings #eidmubarak #ramadankareem #muslimholiday #food #drink #party https://t.co/bxRcPpFSUS https://t.co/Ho9GM4FnEp",muslim|muslims|islam|islamic,Manu,0
