index,class,text,ethnic_keyword,christian|christians,muslim|muslims|islam|islamic,northern|northerner|northerners|arewa|almajiri,southern|southerner|southerners,hausa|hausas,fulani|fulanis,yoruba|yorubas,igbo|ibo|ibos|igbos,women|woman|girl|girls|female|females,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,herdsmen|herdsman,eastern|easterner|easterners|biafra,name,,
420,0,"RT @DrOlufunmilayo: What #EndSARS is NOT:
It is NOT Christians vs Muslims
It is NOT North vs South ethnic war
It is NOT Gay vs AntiGay Righ�",christian|christians,,,,,,,,,,,,,Haaya,,
104,2,@MaziNnamdiKanu Aturu hausa. I thought you said you are Judaism? What's your business with Christians? Bishop Kukah is nothing but a hypocrite! An agent of destructions. Onye nzuzu echiri bishop. May he die shamefully! Just like your useless parents....,christian|christians,1,,,,,,,,,,,,Haaya,,
226,2,"@channelstv @sunrisedailynow @chamberlainusoh @GimbaUmarCTV This man @elrufa is a fool, if Christians were to behave like Muslims, they will start burning houses.
Mad religious begot.
efulefu. Aturu",christian|christians,,1,,,,,,,,,,,Haaya,,
66,2,"Your one of the lazy almajiris Buhari talked about, your Emir's whole family was adducted today hundreds killed and your useless excellent intelligence can't track them it's only on christians and Igbos they know how to work useless parasites! https://t.co/ocrvRPL7I8",christian|christians,,,1,,,,,,,,,,Haaya,,
54,2,@olise_c @USEmbassyAbuja @Mazianozie @NigAirForce @USAfricaCommand @SierraNevCorp @embraer Oh my God...Mr cockroach...pls are the Boko haram Christians?...why do you have to internationalize your stupidity... Do your Biafra thing without lies pls.,christian|christians,,,,,,,,,,,,1,Haaya,,
302,1,"@Imamofpeace Who is raping and killing Christians and where? You are trying to instigate to cause unrest in our country. I see. 
May Allah wrath visit you. U are the type that give's Muslims bad image. May u no know peace.",christian|christians,,,,,,,,,,,,,Haaya,,
416,2,"RT @Real_AdaKing: Under @MBuhari, Nigeria is a Killing field for defenceless Christians. Fulani jihadist (Killer Fulani Herdsmen) have slau�",christian|christians,,,,,,1,,,,,1,,Haaya,,
161,1,"@BlewynA @cazyp @miqdaad I'm sorry to say but that's a really dumb thing to do, I can equally pick the New Zealand mosque shooter and say he represent Christianity because he identifies as a Christian. By the way there are Muslims who don't believe what ur friends do, so would you say they aren't Muslims",christian|christians,,,,,,,,,,,,,Haaya,,
17,2,"Seeing as Muslim guys are mostly scums, I wont b surprised if in the coming years, Muslimah starts getting married to Christians.",christian|christians,,1,,,,,,,,,,,Haaya,,
419,0,I want to specifically say that the silence of @UN over the mass murder of defenseless Christians in Southern Kaduna shows the extent to which they are worthless. It�s more convenient for the organization speak in support of LGBT than the mass murder of helpless Africans.,christian|christians,,,,,,,,,,,,,Haaya,,
202,0,"@renoomokri @aishamusagarba But wait o...what brought Christians, evil doer, southerners, pig comment under an harmless relationship advice?",christian|christians,,,,,,,,,,,,,Haaya,,
33,0,"My Christian borders(gospel artist) buzzd me up saying am a worldly singer.But..Him dy smoke igbo,dy drink shayo pass me,e dy lash choir gals,e dy carry olosho,e dy do gee,e get sugar mummy.Abeg na who ur gospel song done help.bro u must b a mad idiot.sense dey pain u. Werey oshi",christian|christians,,,,,,,,,,,,,Haaya,,
301,2,@AdetolaOlutosin Don't know why people just don't get that we and the northerners all suffer from the same thing and southerners forget that the reason they are christians is because of rape and murder,christian|christians,1,,,,,,,,,,,,Haaya,,
141,2,@RealOlaudah Should worry his southern Christian morons.,christian|christians,1,,,1,,,,,,,,,Haaya,,
361,2,"RT @scanaranbaxy: This is How you Know FUCKING BIGOTS.
Religion Fanatics.

Fulani Terrorist Kill Christians in Your Own Country Everyday,�",christian|christians,,,,,,1,,,,,,,Haaya,,
0,1,"@IshaqAkintola It is either you are being mischievous or plain stupid. The argument was not about Christians or Muslims but about North/South dichotomy. Victor Malu, Luka Yusuf and Martins Agwai are not from the South. They are Middlebelt Christians. Don't twist it.",christian|christians,,,,,,,,,,,,,Haaya,,
105,3,@undiplomatmrbr1 @mmbinji @CreekBoy14 @thecableng Forget the useless aboki..as if the North is a monolithic society..indigenous Christians and Muslims in the North are 50/50 .but they have used all sorts of religious banditry to silence those ones. Bigotry is there main weapon. Alamajiris are there foot soldiers. Bastard,christian|christians,,,,,,,,,,,,,Haaya,,
300,2,"When will Black Lives Matter speak about the daily persecution of Christians in Africa, especially Nigeria? The Islamist Extremist fanatic Fulani Tribe of Buhari is literally video recording their rape of Christian women in public and sharing it on social media.
@Imamofpeace",christian|christians,,1,,,,,,,,,,,Haaya,,
142,1,"RT @arafrika: Kenyans; Muslims and Christians came together during #Westgate. In Nigeria, religious morons will trade jabs yet they'll want�",christian|christians,,,,,,,,,,,,,Haaya,,
415,0,"RT @Onyeckerous: ""Bombs do not discriminate; they kill Muslims, Christians, and Atheists; they don�t separate northerners from southerners;�",christian|christians,,,,,,,,,,,,,Haaya,,
201,3,"@addraz2000 @Mista_Bim @channelstv Who is paying ? Is this not a secular state ? The mission schools were taken by force during military rule by a Muslim ruler. Can Muslim schools allow d use of Songs of Praise or allow Christian students to rear pigs ? Muslims too can tolerate this, let be sincere.",christian|christians,,,,,,,,,,,,,Haaya,,
410,1,"RT @gimbakakanda: This is unacceptable, and both Muslims and Christians are guilty of this. When my office was on Mambolo Street, Wuse Zone�",christian|christians,,,,,,,,,,,,,Haaya,,
411,2,"@tenithetailor 2. She must be chaste and pure from zina. Virginity and purity and Chastity are very scarce if not inexistent amongst the Christian/Jew women today.
3. She must be from people who do not hate islam, or she must not be a person who hates Islamic teachings
4. Marrying them should :",christian|christians,,,,,,,,,1,,,,Haaya,,
409,0,RT @UcheBriggs: Another public holiday on Monday. Muslims holding it down while we Christians only celebrating the birth and death of Jesus�,christian|christians,,,,,,,,,,,,,Haaya,,
257,3,"RT @DonCorleAnn: Christian Boy aesthetic is them making vids, poems and think pieces where they slut shame women, tell us how to be proverb�",christian|christians,,,,,,,,,,,,,Haaya,,
52,2,"@MaziNnamdiKanu Before I continue, I would like to state that this idiot is ""Imam of Biafra"" he cannot be Imam in Islam because Islam does not Accommodate Homosexuality. https://t.co/XM33NCOW1t",eastern|easterner|easterners|biafra,,,,,,,,,,1,,,Haaya,,
103,1,"RT @OluchiUkadike: Please help Christians and BIAFRA.

#RejectNigeria to stop Christian genocides in Zooniger-area.

Ibrahim Magu is a dog�",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Haaya,,
299,2,"Nigeria speaks about 520 languages and by origin, I am from the Eastern part, born in the Northern half, and live now in the Western side. I am well travelled and learned in it's culture. It's diversity and perplexity, whores and flaws are all I live to write for.",eastern|easterner|easterners|biafra,,,,,,,,,1,,,,Haaya,,
256,3,"@MaziNnamdiKanu @AdeboyeDeola @csmonitor @IloyeItode @PastorChrisLive @DailyPostNGR @vanguardngrnews @nassnigeria @NaijaChristian @TheNationNews @SilentNigeria Even now that they are yet to declare Biafra, we the TIV tribe some of us , we were not there during Biafra war but when we enter places like Owerri and others they treat us like animals. Igbos don't have good mind if not for the unending love that I have for @MaziNnamdiKanu",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Haaya,,
86,1,"@EevsfD @KennedyNwogu4 @capo_bbg Yes, let it sink into your skull, no truth Igbo man or woman want to force you into biafra, ok. We are called Igbos, self sufficient not parasite.",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Haaya,,
403,1,@channelstv The solution is very simple . Support the igbo masses to restore biafra then peace will return to the region. The igbos want equal rights and justice. COCONUT HEAD GOVERNORS,eastern|easterner|easterners|biafra,,,,,,,,,,,,,Haaya,,
123,1,"@BenjaminEbenez3 @StephenArisa1 @ThAtJaBaBoy @Ozo_Njenje @realFFK You�re absolutely stupid and senseless in that useless words of yours, there is no Biafra without Igbo, Igbo is Biafra and when we conclude everything, we will leave you with your animals Kingson",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Haaya,,
298,0,".. interests, including protections for women and children. Though her rivals and critics may have painted her as a so-called ""whore in Christendom,"" Theodora eventually became�an Eastern Orthodox saint, leaving her with the final word in her own story.",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Haaya,,
199,0,"This shit is so f*cking relatable ????

Buhari || Hausa || #OleOut || Tunde Bakara || NNPC || #stoploaningkenya || Owerri || Nigeria || #MoneyHeist5 || Biafra https://t.co/BNWjcf6Th7",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Haaya,,
338,2,RT @BiafraHerald: Restructuring Summit: A Gathering Of Vultures To Keep Submitting The Subjugated Easterners To The Ferocious Northern Caba�,eastern|easterner|easterners|biafra,,,1,,,,,,,,,,Haaya,,
283,3,"@adamugarba Banditry,kidnappings all started from the north and are majorly people from the South eastern part and they are fulanis, so it�s right to call them fulanis same way the Northerners call Biafra IGBOS??? so stop been a sentimental bitch ??",eastern|easterner|easterners|biafra,,,,,,,,,,,,,Haaya,,
382,2,"RT @DeevaOfficial: Wake up fanatic Igbos. Whether you shout from now till next year, there is no Biafra. There is only Nigeria. Quit dreami�",eastern|easterner|easterners|biafra,,,,,,,,1,,,,,Haaya,,
489,2,Fulani herdsmen declare Jihad in letter to Bishop Oyedepo [VIDEO] https://t.co/OuPGnvgi53,fulani|fulanis,,,,,,1,,,,,1,,Haaya,,
