"index","class","text","ethnic_keyword","hate_keyword","christian|christians","muslim|muslims|islam|islamic","northern|northerner|northerners|arewa|almajiri","southern|southerner|southerners","hausa|hausas","fulani|fulanis","yoruba|yorubas","igbo|ibo|ibos|igbos","women|woman|girl|girls|female|females","lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders","herdsmen|herdsman","eastern|easterner|easterners|biafra","name"
14,1,"@_SeanKessie @ogbeninifemi Guys una mumu get levels shaa

See as everybody dey comment done done.

If this should be Christian /Muslim Evangelism now, nobody will see you

Ashawo!!","christian|christians","mumu|mumus",,,,,,,,,,,,,"Ibrahim"
0,2,"@DaudaJibrin13 @BashirAhmaad Even ur name ""Dauda"" has explained that u don't av brain. Europeans thought Christians how to kidnap while Arabs thought Muslims how to do terrorism, killing n destruction n that's why they r problem all over the word today. Ewu","christian|christians","ewu",,1,,,,,,,,,,,"Ibrahim"
367,1,"@IshaqAkintola It is either you are being mischievous or plain stupid. The argument was not about Christians or Muslims but about North/South dichotomy. Victor Malu, Luka Yusuf and Martins Agwai are not from the South. They are Middlebelt Christians. Don't twist it.","christian|christians","malu|awon malu",,,,,,,,,,,,,"Ibrahim"
284,2,"During an argument with my friends over  retaliating on SA own coys in Nigeria as @MTNNG @DStvNg @GOtvNg @Shoprite_NG, I asked if any has ever picked a stone to throw at an aboki or any Muslim when Christians were killed in Northern States and there was a calm #SayNoToXenophobia","christian|christians","aboki|abokai",,,1,,,,,,,,,,"Ibrahim"
393,0,"@abdulfeeizyy can person be in peace if he belief in Christ in a Muslim family in the north, can Nigeria be in peace if Christian address Muslims with Arne, kafir or unbelievers just because they not practicing Christianity,","christian|christians","arne|arna",,,,,,,,,,,,,"Ibrahim"
255,1,"@Emmanuelanibe2 @AyemiTj @ARIDICA_INC @treatpworld @Oladapomikky @Alex_Houseof308 Let's take it easy guys, no religion is perfect
We Christians have our loopholes too, same with the Muslims and others
So let's not deviate from the bone of contention here which are
1.That chief that wanna kill himself with food before fasting and
2.That werey wey dey aso rock😏","christian|christians","werey|awon weyre",,,,,,,,,,,,,"Ibrahim"
112,2,"@AbuduOfficial @Sin_sombras9 @mahfouz_shehu @yourchargie @OvieNews She's the biggest illiterate I've seen here, very backward and dumb woman living in the past, saying something negative towards a religion she knows nothing about. Am sure she's not even a true Christian. Non sense element kawai tufeyakwa, didirin.","christian|christians","didirin|awon didirin",,,,,,,,,1,,,,"Ibrahim"
13,2,"@Godwill63596959 @Bulamacartoons Oh u thought I’m Muslim wrong u I’m not bitch I’m Christian so I guess s our religions dt s d terrorise mumu mamas pet staying under parent saying rubbish on here. Poor goat","christian|christians","mumu|mumus",,1,,,,,,,,,,,"Ibrahim"
42,2,"@channelstv @sunrisedailynow @chamberlainusoh @GimbaUmarCTV This man @elrufa is a fool, if Christians were to behave like Muslims, they will start burning houses.
Mad religious begot.
efulefu. Aturu","christian|christians","efulefu|ndi fulefu",,1,,,,,,,,,,,"Ibrahim"
344,2,"@abati1990 I wonder what she does o! She claims to be a Christian, but it’s obvious that She doesn’t read her bible! Because out of the abundance of her heart, her mouth speaks. A woman filled with Injustice and Evil! Unfortunately, they made her a Pastor! When she’s Mama Agbero!","christian|christians","agbero|agberos|awon agbero",,,,,,,,,1,,,,"Ibrahim"
307,2,"I hope all the muslims that joined the protest march at COZA will not be mad when Christians do the same at the mosque when a mallam defiles a young girl. #COZASAGA","christian|christians","mallam|malamai",,1,,,,,,,,,,,"Ibrahim"
129,1,"@OsosaChris Not even a Southern Christian but a Southern Kaduna Christian from Northern Nigeria, Gov @elrufai would have been joined in the bigotry suit to be filled by the likes of FFK, KUKAH, Middle Belt Forum...etc! 
Yeye people!","christian|christians","yeye|awon akin yeye",,,,,,,,,,,,,"Ibrahim"
220,1,"@renoomokri Mugu! When muslims empower theri mosque so as to bring people or convert them to worship their God. Why you as a Christian will not empower the Message to CD so it can reach people. Abi no be money them go use burn the CD.  #RenosNuggets #Mumunuggets😓","christian|christians","mugu",,,,,,,,,,,,,"Ibrahim"
283,2,"Nigerians are religious hypocritical pious people with Christians wey no de chop sallah meat but de chop Aboki suya and Muslims wey no de chop Christmas meat but de rear cow to sell during Christmas.","christian|christians","aboki|abokai",,,1,,,,,,,,,,"Ibrahim"
181,2,"RT @as_qxx: My people like defending rubbish. if it was a Muslim school and a Christian did that lasan, timeline go don change with dirty t…","christian|christians","lasan",,1,,,,,,,,,,,"Ibrahim"
85,1,"@NA_ME_BE_NONSO @ugybabe2020 @UniqueFeranmii Arindin oponu ode, in ur bio u r not interested in religion bs but u r here spitting crap abt a tribe that a Muslim can marry christian and teach their kids a way of good life n nt to be a religion bigot, how do expect us to be extremist? U just carry head for neck sense no dey https://t.co/phz0apiT9J","christian|christians","ode|awon ode",,,,,,,,,,,,,"Ibrahim"
425,2,"This is page of confusion from the Igbo people. They lost sense of reasoning just propagate lies against the Nigeria government since they're not in power. It's hope for biafraud and not Nigeria.

Please keep off from this page","eastern|easterner|easterners|biafra","biafrat|biafraud",,,,,,,,,,,,1,"Ibrahim"
304,2,"@ThatKatsinaGirl Hahahahah, mumu aboki girl, Bokoharam girl, una dey even kill and rape ur own tribe. Chaiii, so sorry, i knw u wish in ur next world not to be aboki, shine my shoe. Mumu gal,let me remind u dat Rivers,Benue,Enugu,Anambra,Imo,Abia are inclusive in Biafra.... Olodo wey no sabi book","eastern|easterner|easterners|biafra","aboki|abokai",,,,,,,,,1,,,,"Ibrahim"
426,2,"@abuchiawaji @NigeriaStories @mdnurabala If they are not IPOBs why did they spared Nnamdi Azikweye and signalled many top Igbo ranking officers to flee? the so called idealist from across the board, were all clamouring for secession out of Nigeria and create Biafraud ko?","eastern|easterner|easterners|biafra","biafrat|biafraud",,,,,,,,,,,,1,"Ibrahim"
