index,class,text,ethnic_keyword,name,class_luis
480,0,"Matured Christians never make a fool of themselves, they only do what God accredit&amp;give directives for.... https://t.co/9I5l3EFVER",christian|christians,Luis,0
701,0,"@VanessaKokomama Infact, But u know wat I did I went to my pastor &amp;said since it d yourba believe ,&amp; it primitive can't we jst follow the grace giving to us cause we are not concern about the primitive culture,so therefore a christian dead should be bought home irrespective of the place of death",christian|christians,Luis,0
531,0,@channelstv @evuleogu Is this what you call democracy?  Where armed Islamist roam the streets with guns and Christians are hacked down like animals. History will tell how @channelstv blew the trumpet in support of evil.,christian|christians,Luis,0
592,3,RT @v4mpgrI: bitches making fun of witchcraft and astrology while being CHRISTIANS will always be funny to me 😭 https://t.co/61aZns5yc4,christian|christians,Luis,3
781,1,"Baboons and monkeys are soaking blood in Nigeria. Over 2000 Christians brutally maimed and murdered. And we all are mute, even our bishops",christian|christians,Luis,1
735,0,Download Christian Krissy O – Bum Short.mp3 | Naija Music @ http://t.co/bzgf4exfqs,christian|christians,Luis,0
568,2,"@montithefirst @comandant5 @liamjajitoby Lmaoo So your years of reading the Bible told you to call me a slut abi? That’s just to say that y’all become Christians just to judge other people’s decisions. Small boy, heal",christian|christians,Luis,2
857,0,Christian Pulisic should drop our number 10! He doesn't deserve it.,christian|christians,Luis,0
245,1,"@AdaojoV @UN @realDonaldTrump @MBuhari As a Christian I pray that God have mercy on your soul. 

But as a Nigerian youth, na Ogun go kee u dia, u no go die beta bastard. 

That money they paid u will put in a difficult situation.",christian|christians,Luis,3
141,0,"The Special Assistant to President Muhammadu Buhari on social media, Lauretta Onochie has again accused the Christian Association of Nigeria (CAN) of being a ‘blood-sucking parasite’ in its... https://t.co/x7qfnYrT1j",christian|christians,Luis,0
2,1,@solaadio Yes they can. I've got discretion. I can't say the same for other Christians and they give 'stupid' reason y. It doesn't cut it,christian|christians,Luis,0
439,1,"@iamjohnsonemma The world CHRISTIAN population is not upto 3billion, liar!",christian|christians,Luis,1
882,0,"RT @BikerNiqabi: Imam Ahmad bin Hanbal had a very intelligent friend who was a Christian. The Imam asked him, you’re a very smart man, so w…",christian|christians,Luis,0
