"index","class","text","ethnic_keyword","hate_keyword","tweet_type","tweet_id","user_id","name"
782,0,"@elrufai he won't e even scale through APC primaries, plus the hatred he has created for himself from Christians. If the North are tired of Being a part of Nigeria, let them put El rufai forward as another buhari. Then "" the monkey and Baboon to be soak in blood"" quote 4rm BUHARI https://t.co/bKTqynKfmV","christian|christians","baboon|baboons","hate_tweets_eng_single","1,32248134584361E+018",1271392494,"Pedro"
784,0,"I can't wait to read the ""minute of a joint meeting"" where they made the plans to disrupt the ""Christian President"" presidency.

Where they planned to ""soak the baboons"" in blood.

Where they planned to ""make the country ungovernable"" for the ""Christian President"" https://t.co/MlJljAgRgk","christian|christians","baboon|baboons","hate_tweets_eng_single","1,38512986312905E+018","9,33997017562583E+017","Pedro"
592,3,"RT @v4mpgrI: bitches making fun of witchcraft and astrology while being CHRISTIANS will always be funny to me 😭 https://t.co/61aZns5yc4","christian|christians","bitch|bitches","hate_tweets_eng_single","1,4015127211962E+018","8,53724398053994E+017","Pedro"
114,0,"@ged they must speak against the north and BH because christians have been killed in churches like cockroaches u know what I mean.","christian|christians","cockroach|cockroaches","hate_tweets_eng_single","3,44717090617434E+017",481221844,"Pedro"
811,2,"It's just d first month, n twitter is complaining abt Christians 😭😂😂 we haven't evn started yet! Everyone has right on this app! 

This year we are coming with holyghost bang! You must be saved. You must join the chosen train. Apostle Paul, me too I v coconut head lik you.","christian|christians","coconut head|coconut heads","hate_tweets_eng_single","1,35083407518406E+018",4080491352,"Pedro"
341,0,"RT @rhemanigeria: The reverence that some Christians have for Satan is disgusting @ToksAdejuwon","christian|christians","disgusting","hate_tweets_eng_single","1,11512626563434E+018",4920462257,"Pedro"
339,3,"@CNN The Left are increasing becoming annoying and disgusting. Their hate against White, Christians, morality and everything humanly reasonable can best be described as the ugly emergence of Frankinstein monsters!","christian|christians","disgusting","hate_tweets_eng_single","1,12848565200012E+018",1230513006,"Pedro"
340,0,"@kimistiredofitt Christians are disgusting? 
This generation smh","christian|christians","disgusting","hate_tweets_eng_single","1,30400794770667E+018",362766662,"Pedro"
161,0,"#youtube Acrobat Christian Stoinev &amp; dog Percy leave the Judges in a spin| Britain’s Got More Talent 2017 https://t.co/kuYZ9yN6wX","christian|christians","dog|dogs","hate_tweets_eng_single","8,66681970461483E+017","7,9816339089621E+017","Pedro"
162,0,"@LukmanHorpe @AkogwuEdache @AishaYesufu @pastorwf_kumuyi @LukmanHorpe ; calling someone dog is totally wrong and you should withdraw your statement or delete it.. am a christian and i support the dragging or calling-out of whatsoever Pastor on this platform. Pastors are not gods. It’s easier for we youths to drag President @MBuhari","christian|christians","dog|dogs","hate_tweets_eng_single","1,3439729856324E+018",844005896,"Pedro"
72,2,"@tsafa_d @Truthfully83 @PastorEAAdeboye The most wicked Christian pastors are redeem pastors. Wicked thieves. Everyone of them. Useless idiots","christian|christians","idiot|idiots","hate_tweets_eng_single","1,36159342166064E+018",179130146,"Pedro"
143,0,"A PROBLEM AND PROBLEMATIC CHRISTIAN IS ONE WHO ONLY WANTS TO HEAR AND KNOW WHAT GOD CAN DO FOR HIM/HER WITHOUT CARING TO LEARN AND KNOW HOW GOD WANTS HIM/HER TO LIVE FOR HIM AND PLEASE HIM.

JESUS DID NOT DIE 0N THE CROSS FOR YOU TO MAKE YOU A PARASITE FOR HIMSELF.","christian|christians","parasite|parasites","hate_tweets_eng_single","1,36505038717939E+018",3217555079,"Pedro"
141,0,"The Special Assistant to President Muhammadu Buhari on social media, Lauretta Onochie has again accused the Christian Association of Nigeria (CAN) of being a ‘blood-sucking parasite’ in its... https://t.co/x7qfnYrT1j","christian|christians","parasite|parasites","hate_tweets_eng_single","1,01411407238243E+018",2496713311,"Pedro"
142,2,"I need a Christian to answer me please.

So, when God murdered everything on earth at the flood, did it include viruses, bacteria, and parasites? 

Or did Noah bring the viruses into the ark in twos?","christian|christians","parasite|parasites","hate_tweets_eng_single","1,3318460524928E+018",559600149,"Pedro"
703,0,"RT @stephencrose: Everything goes out of fashion as we move through our primitive modes. Like Onward Christian Soldiers. Christ does not le…","christian|christians","primitive|primitives","hate_tweets_eng_single","1,4004766968313E+018",138080840,"Pedro"
701,3,"@VanessaKokomama Infact, But u know wat I did I went to my pastor &amp;said since it d yourba believe ,&amp; it primitive can't we jst follow the grace giving to us cause we are not concern about the primitive culture,so therefore a christian dead should be bought home irrespective of the place of death","christian|christians","primitive|primitives","hate_tweets_eng_single","1,36568005673612E+018","1,30363898011893E+018","Pedro"
640,0,"RT @aimpurpose: Christians must be careful in our proposition of abstinence from pre-marital sex as an antidote to the issue of rape lest w…","christian|christians","rape|rapes|raping","hate_tweets_eng_single","1,26683647067073E+018","8,51104106626388E+017","Pedro"
45,1,"RT @ternamuse: All those people who used the phrase ""Easter worshippers"" instead of christians, are pathetic scums of the earth.","christian|christians","scum|scums","hate_tweets_eng_single","1,12032609753785E+018",570202621,"Pedro"
