"index","labels","new_labels","text","score","predicted"
161,1,3,"@BlewynA @cazyp @miqdaad I'm sorry to say but that's a really dumb thing to do, I can equally pick the New Zealand mosque shooter and say he represent Christianity because he identifies as a Christian. By the way there are Muslims who don't believe what ur friends do, so would you say they aren't Muslims","[0.8766871718479847, 0.12331282815201539]",0
33,0,1,"My Christian borders(gospel artist) buzzd me up saying am a worldly singer.But..Him dy smoke igbo,dy drink shayo pass me,e dy lash choir gals,e dy carry olosho,e dy do gee,e get sugar mummy.Abeg na who ur gospel song done help.bro u must b a mad idiot.sense dey pain u. Werey oshi","[0.12984343802049797, 0.870156561979502]",1
299,1,0,"Nigeria speaks about 520 languages and by origin, I am from the Eastern part, born in the Northern half, and live now in the Western side. I am well travelled and learned in it's culture. It's diversity and perplexity, whores and flaws are all I live to write for.","[0.9358173563909802, 0.0641826436090197]",0
314,1,0,"9 Fulani herdsmen gang-rape 15-yr-old girl, 2 housewives http://t.co/CMMUGqilfh","[0.933673125976404, 0.06632687402359619]",0
528,1,3,"RT @iykimo: Why are people afraid to mention the groups and people responsible for food inflation?

Fulani herdsmen grazing on farms and ki�","[0.9125141528990985, 0.0874858471009016]",0
459,1,3,"suddenly,
Fulani herdsmen are no longer attacking villages;
All Fulanis are no longer killer herdsmen;
Hausa Fulanis are no longer ""Born to Rule"";
Islamizing Nigeria is no longer being revealed to the politicians on... https://t.co/ru6E5fpIS0","[0.9249592754615028, 0.07504072453849711]",0
398,0,1,"If they can do their politicial campaigns in Igbo, Hausa and Yoruba etc then what's stopping us. Let's show them what this coconut head generation is capable of doing ?

#EndSARS https://t.co/ktFJSKAv8t","[0.14627007485015744, 0.8537299251498425]",1
392,1,0,"RT @MrStanleyNwabia: ""Dogs &amp; Baboons will be soaked in blood if I lose""
~We made him President

""Defend yourselves from Fulani herdsmen""
~D�","[0.5966094282261376, 0.4033905717738624]",0
381,1,3,"@olamide_falase I would very much like the Gov of Kaduna or President of Nigeria to use the law or address the structures that cause herdsmen, caliphate builders and sharia fanatics to attack southerners and Christians while we wait for their hearts to be transformed by the gospel we preach!","[0.689932700339893, 0.31006729966010704]",0
224,1,0,"RT @Amaka_Ekwo: Biafra : No Election In Anambra, Igbo Leaders Are Liars � IPOB Insists, Reveals What Nnamdi Kanu Discussed With... https://�","[0.9399684787207403, 0.06003152127925986]",0
83,0,2,"@thesymphonicape @Israel__lee I'm guessing woke to u is only when there's gay characters and women empowerment.
Cos u must have watched a different Parasite.","[0.17147701963017753, 0.8285229803698224]",1
