index,class,text,ethnic_keyword,christian|christians,muslim|muslims|islam|islamic,northern|northerner|northerners|arewa|almajiri,southern|southerner|southerners,hausa|hausas,fulani|fulanis,yoruba|yorubas,igbo|ibo|ibos|igbos,women|woman|girl|girls|female|females,lgbt|lgbtq|lgbtq+|gay|gays|lesbian|lesbians|transgender|transgenders,herdsmen|herdsman,eastern|easterner|easterners|biafra,name
327,2,"@vanguardngrnews @vanguardngr What are they going there to do?  To learn how to rape and how to loot, in addition - How to force Christians to convert to Islam.  Wasting the oil monies from Biafraland.  This news/headline is as useless and dead vulture!",christian|christians,,1.0,,,,,,,,,,,Manu
418,0,“@MumuQuestionZz: Nigerian tribe with the highest population of Christians? #GloLafftaFestPH10thNov”Igbo !,christian|christians,,,,,,,,,,,,,Manu
413,0,"RT @Oma_igala1: Kaduna Bomb Attempt, Nigerians seem divided along Religion line some Muslim are saying the man caught is a Christians and C…",christian|christians,,,,,,,,,,,,,Manu
404,0,RT @EmekaGift: Catholic Church in Nigeria protest the unabated killings of Christians by Fulani herdsmen and Boko Haram Islamic Extremists.…,christian|christians,,,,,,,,,,,,,Manu
328,2,"@Meeractive You can say anything as a vulture, fraud and beneficiary of our resources. If you are angry, go and tell  your Fulani cow leaders, brothers &amp; sisters to separate from Biafrans. We are humans &amp; not Vultures who feeds from carcasses; &amp; we are Christians - not Pig worshipers. Cow!",christian|christians,,,,,,1.0,,,,,,,Manu
258,2,@realdanielnweke @uncleifedapo Christian 'brothers' and painting every 21st century woman as a slut is like 5 and 6.,christian|christians,1.0,,,,,,,,,,,,Manu
412,0,"@stephie_coco @pastorituah Christian Pastor, wife of a Muslim https://t.co/9FvCkDIXfy",christian|christians,,,,,,,,,,,,,Manu
408,1,"RT @arewa_01: “I am a Christian but I believe Christians shouldn’t preach to Muslims”

Your feelings don’t matter Uncle.

Jesus says, “Make…",christian|christians,,,,,,,,,,,,,Manu
271,2,"@WalterW90021394 @GarbageHuman_ All lies, gay conversion therapy are nothing but christian brainwashing. You can convince yourself of anything but it doesn't make it true bitch. I still win.",christian|christians,1.0,,,,,,,,,,,,Manu
397,2,@WuraAina @PremiumTimesng I know it is more Christian than anything else. Don't worry Islam will take over soonest. When that happens you can heat your coconut head on the wall.,christian|christians,1.0,,,,,,,,,,,,Manu
