index,class,second_class,text,ethnic_keyword,name,Unnamed: 6,Unnamed: 7,
620,2,3,"RT @NoneonRecord: "" I was a church boy for a good part of my life. So, I was sometimes whore by night, Christian by day, if I can put it li�",christian|christians,Niyati,,,
438,0,0,"RT @livechristian1: Jesus Loves: 

Sinners 
Liars
Christians
Non Christians
Poor 
Rich
Black
White
Republican
Democrat
Saved
Not Yet Saved�",christian|christians,Niyati,,,
878,0,0,"RT @Ezepatricktwit1: BREAKING:

Redeemed Christian Church, RCCG Alapere, Lagos on ?? with many cars inside ???.. Hmmmmm https://t.co/I7lgOf�",christian|christians,Niyati,,,
533,0,1,"RT @newsbreakngr: Christians, Pastors Call Us Idiots, Animals For Doing Our Job � Lagos FRSC Commander https://t.co/bmiDq6W7bk .@FRSCNigeria",christian|christians,Niyati,,,
702,0,2,"RT @WhitefieldG: If you would walk with God, you will associate and keep company with those that do walk with him�the primitive Christians,�",christian|christians,Niyati,,,
479,0,1,"@DavidOyedepoMin @BishopDOAbioye If u give God anything less than ur best, u've not regarded Him as God. Don't fool urself &amp; say ""Well, God understands"". If u understand who this God is &amp; what He's given to u, u'll be up &amp; doing. God doesnt relate to all Christians the same way. Some are Sons, others are babes?",christian|christians,Niyati,,,
761,1,3,You've just lost votes from the Christian fanatics. You've corrupted the Heb 13:8. Your dad is now their Jesus ba? ??????? https://t.co/SRdgFanWfJ,christian|christians,Niyati,,,
870,1,0,RT @Thegod_Man: Christians shouldn't engage in gender wars.,christian|christians,Niyati,,,
244,1,3,"If there are two christians and they do not understand each other,then one of them must be a bastard in christ jesus.",christian|christians,Niyati,,,
115,0,0,"@Adaolis_a Lisa... She was expelled because they felt she dented their image and brand. Babcock is a business enterprise, forget that it's a christian school.They need to protect their image.I am sure if you buy a gala and see a cockroach in it, would you still wanna patronise that brand.",christian|christians,Niyati,,,
621,2,2,"I completely agree with CAN on this. May we also remind CAN to direct equal amount of energy to the more degrading houses of whores called  'Christian' churches whose outlook, activities,&amp; dressing cultures promote immorality &amp; precipitate rape, and other atrocities.#lockdownbb https://t.co/IflwdZVGkQ",christian|christians,Niyati,,,
72,2,2,@tsafa_d @Truthfully83 @PastorEAAdeboye The most wicked Christian pastors are redeem pastors. Wicked thieves. Everyone of them. Useless idiots,christian|christians,Niyati,,,
340,3,3,"@kimistiredofitt Christians are disgusting? 
This generation smh",christian|christians,Niyati,,,
339,0,1,"@CNN The Left are increasing becoming annoying and disgusting. Their hate against White, Christians, morality and everything humanly reasonable can best be described as the ugly emergence of Frankinstein monsters!",christian|christians,Niyati,,,
47,2,0,"Sometimes Christians think that to live a life truly honoring to God we must be self-sacrificial to the point of martyrdom. If we do not believe we are the scum of the earth, then we doubt our humility.",christian|christians,Niyati,,,
875,0,0,Bible Short Reports: Problem-Solving Christian Articles for This Week All About Bible Success Principles https://t.co/Rbf40pEPEM,christian|christians,Niyati,,,
847,0,0,"RT @wordsepic1: Governor Ajimobi�s Daughter Rocks N640k Christian Louboutin Heels (Photo)
https://t.co/WSYHGEUjtZ",christian|christians,Niyati,,,
440,3,1,"@Imamofpeace Liar! Am not a Buharist, and also not foolish. Google and find out the places where insurgency/banditry are taking place, see if the victims are Christians. All you do is to spread hatred between us, you will not succeed. May God expose your identity to our Christian brothers.",christian|christians,Niyati,,,
879,2,3,RT @guidinglightGLA: 74. The word worldly means flesh or canal. This type of Christian is more likely to follow the physical senses and fal�,christian|christians,Niyati,,,
437,0,0,"If someone says, �I love God,� but hates a Christian brother or sister, that person is a liar; for if we don�t love� http://t.co/9g5Fm1tyMx",christian|christians,Niyati,,,
208,2,2,"@erefitei You fools should channel your anger towards your useless, incompetent leaders, should Christian also start mentioning top Imams and Alfas? Don't be stupid.",christian|christians,Niyati,,,
478,1,1,@Real_AdaKing @HananyaNaftali Religious fools are praying for Israel that are using sophisticated weapons to defend themselves. Who do us in Africa.. I guess these moron s don't know Christians in Israel are just 2% of their population... ? ? ?,christian|christians,Niyati,,,
619,0,0,"RT @Capstoneonline: ""The Bible speaks in symbolisms. For instance the whore is a Christian who has fallen spiritually"" Dr @olubijohnson
#re�",christian|christians,Niyati,,,
482,2,2,"Sharrap fool""@Slimtallswagful: The most lazy people in d world are christians..they just want miracle""",christian|christians,Niyati,,,
143,0,1,"A PROBLEM AND PROBLEMATIC CHRISTIAN IS ONE WHO ONLY WANTS TO HEAR AND KNOW WHAT GOD CAN DO FOR HIM/HER WITHOUT CARING TO LEARN AND KNOW HOW GOD WANTS HIM/HER TO LIVE FOR HIM AND PLEASE HIM.

JESUS DID NOT DIE 0N THE CROSS FOR YOU TO MAKE YOU A PARASITE FOR HIMSELF.",christian|christians,Niyati,,,
3,X,2,"A group of people against anything good, don't want western education but enjoys everything produced by knowledge acquired through it, won't establish schools except koranic schools but come to impose their stupid beliefs in Christian schools, what a people.",christian|christians,Niyati,,,
848,0,0,"RT @gabriel_specter: Good morning and happy new week Christian Twitter.

Last week, we did great for the Gospel. This week, we do even more�",christian|christians,Niyati,,,
861,0,0,Would You Rather Spend $90 on a Christian Louboutin Lipstick or $90 to Get a Bunch of Other Products Instead? http://t.co/UuYYV1tZrA,christian|christians,Niyati,,,
700,2,2,@Phoseka @camhove @souladamstweets @hi_kuboss @Ciku_Muriithi My question to Christians is why do you guys hate everything ancient or primitive?,christian|christians,Niyati,,,
849,0,0,"RT @tise_world: Join us at the Christian Community Church @ Benson Street, Off Akerele, Surulere Lagos by 11pm on Friday, 6th Feb.. http://�",christian|christians,Niyati,,,
207,1,1,Useless and Shameless @BarackObama and @David_Cameron that suports the killing of Christians and dictatorship in nig https://t.co/yrfsuWZg2A,christian|christians,Niyati,,,
762,2,2,"@DrLawalSir @_MindSculptor @FeralJack_ Your inability to see beyond religion has blinded your ability to be coherent. Since you Christians or better put, religious fanatics seem to feel like saint that's why I termed you holy one. You're the one acting indiscreetly Mr. I'm being moved by reasoning and not sentiment.",christian|christians,Niyati,,,
854,0,0,We now take our congregational #hymn ?God give us Christian homes? #ThirdService #MarriedAndSingles,christian|christians,Niyati,,,
880,0,0,"Why it is wrong to see the Pope as a Christian (one who trusts in Christ ALONE for their salvation). We have only one mediator, and He is Yeshua (Jesus) the Christ, and by the work of the Holy Spirit, Christ's redemptive work is applied to all who believe. This is fundamental. https://t.co/ZfHvGX5cei",christian|christians,Niyati,,,
0,0,1,"@RealSolaKuti Most senseless tweet and most gullible tweets ......amd before you all open big mouths, I stayed in the North East and I am a Christian. Again, this is the most stupid stweet I have seen ever",christian|christians,Niyati,,,
163,0,0,"RT @TheFastShow1: The Christian Cops; Stolen dog
#TheFastShow https://t.co/F92lfarCf2",christian|christians,Niyati,,,
884,3,3,Ati christian o ati unchristian o...ko bojumu. https://t.co/KFlUmIgHmY,christian|christians,Niyati,,,
342,2,3,@AKingAndMore @comr_anya @SaharaReporters You better not be a Christian and you're uttering this vile comments... Very disgusting..,christian|christians,Niyati,,,
876,0,0,RT @is_salsu: I�m a Christian and will never be ashamed to say God is my Father.,christian|christians,Niyati,,,
672,2,2,"@Dee1music @christongray Just because you are Christian don't mean you are no vulture.

Thatz one strong word",christian|christians,Niyati,,,
1,1,1,"@Ijeoma85501 @Jonahelijah9 I love how you are frothing. You irredeemably foolish kitten?

You jump and scream and shout like you love God more than other Christians yet you are still a bloody fornicating sinner like the rest of us. 
 You are too daft to fight for Christ. He thinks you are stupid too. ?",christian|christians,Niyati,,,
845,0,0,RT @ChelseaFC: Lampard reports that Ben Chilwell is in the squad tomorrow. Hakim Ziyech and Christian Pulisic are getting closer to fitness�,christian|christians,Niyati,,,
1266,0,0,RT @Biafranewspoint: @radiobiafralive #Biafra: Asaba Shut Down! Market in protest HAPPENING NOW @BBCAfrica @UN @cctvnewsafrica https://t.co�,eastern|easterner|easterners|biafra,Niyati,,,
529,1,1,RT @Princesnide: @MaziNnamdiKanu The country zoo is totally messed up because those old fool's and they still don't want let biafra go http�,eastern|easterner|easterners|biafra,Niyati,,,
1276,1,1,"They preach #Democracy! 
But When the chips are down, the fantastically corrupt #Slavemasters from @GOVUK &amp; their #SlaveHunters in @HQNigerianArmy &amp; @PoliceNG use #Force of arms to settle an important political question of freedom of indigenous people of #Biafra.
@CatrionaLaing1",eastern|easterner|easterners|biafra,Niyati,,,
71,3,3,@DailyPostNGR Keep rulling Biafra will come chase you out you scum,eastern|easterner|easterners|biafra,Niyati,,,
732,3,3,"Chike ffed up sha... mana ya diba... people all over the world travel at different times...

Thanksgiving
Sallah
New Year
Tov

Na only eastern people own come be primitive... ya diba sha...",eastern|easterner|easterners|biafra,Niyati,,,
1279,0,0,"RT @NkirukaNistoran: Join Us Live On
Radio Biafra SA
Nigerian govt 
Where is Biafra leader #NnamdiKanu? 
Where are all Biafra freedom fight�",eastern|easterner|easterners|biafra,Niyati,,,
43,0,0,RT @RipplesNG: #Biafra: 'We may do something stupid' @thebiafratimes @NwajiugoG @radiobiafralive @alertigbo @valbrownmc @chine4u #biafraexi�,eastern|easterner|easterners|biafra,Niyati,,,
243,3,0,@AlExVaLnAtIoNs2 @Ann46268908 @MrAfobaje Niger delta will not be with your biafra nation and we will also seek to break out of the useless nigeria nation as well... Most of you here have already shown that there will be no difference between biafra and nigeria...,eastern|easterner|easterners|biafra,Niyati,,,
1252,0,0,RT @biafra_tv: BREAKING: FACEBOOK CEO MARK ZUCKERBERG SHUTS DOWN RADIO BIAFRA LONDON FACEBOOK GROUP AND ACCOUNTS BELONGING TO IPOB� https:/�,eastern|easterner|easterners|biafra,Niyati,,,
242,1,3,"This now very obvious IGBOPHOBIA to what end?
Oduduwa republic and no one gives a care, but the mention of BIAFRA, everyone starts screaming.
Unfortunately, we have the worst set of politicians, useless lots,
Kanu should also calm down cos who dem wan burn no dey bath with petrol",eastern|easterner|easterners|biafra,Niyati,,,
1273,0,0,"RT @DavidOl57450723: Mazi Nnamdi Kanu is agitating for Biafra, likewise Sunday Igboho for Oduduwa

What is Sheik Gumi agitating for?",eastern|easterner|easterners|biafra,Niyati,,,
807,3,3,"Femi Fani-Kayode, Biafra and Buhari�s dogs and baboons https://t.co/ZQwKaikzDF",eastern|easterner|easterners|biafra,Niyati,,,
841,3,2,@MobilePunch God who do us this thing???? these men are blood ? sucking demons??coconut heads??? they are busy doing nothing but to eat money ? Eastern Nigeria shame on our governors especially Abia State governor with BIG head???,eastern|easterner|easterners|biafra,Niyati,,,
203,1,3,@Buchyogba @markessien The same Eyo Ita Zik chased away like a dog as Premier of Eastern region when his adventure in western house failed woefully?,eastern|easterner|easterners|biafra,Niyati,,,
