index,class,text,ethnic_keyword,name
784,3,"I can't wait to read the ""minute of a joint meeting"" where they made the plans to disrupt the ""Christian President"" presidency.

Where they planned to ""soak the baboons"" in blood.

Where they planned to ""make the country ungovernable"" for the ""Christian President"" https://t.co/MlJljAgRgk",christian|christians,Haaya
863,1,"RT @EmekaGift: @JulieElliottMP, #BiafransLivesMatters ,#Britain stop supporting #Buhari d #terrorist to kill #christian #Biafrans https://t…",christian|christians,Haaya
872,0,And some Nigeria Christians are defending this ? SMH https://t.co/yqqGmxT6i2,christian|christians,Haaya
733,3,"Christian Krissy O – Jogodo + Bum Short: 

Christian Kwabena Amoah popularly known as Krissy O is a Ghanai... http://t.co/ZMVwFEUxDI",christian|christians,Haaya
703,0,RT @stephencrose: Everything goes out of fashion as we move through our primitive modes. Like Onward Christian Soldiers. Christ does not le…,christian|christians,Haaya
618,0,@ivy_okoye Christian Di Whore Di Whore (Dior ?),christian|christians,Haaya
371,0,RT @RVAwonk: Holy shit. American citizens are being asked if they are Christians upon reentry to the country... https://t.co/dGVuMkMBVt,christian|christians,Haaya
142,0,"I need a Christian to answer me please.

So, when God murdered everything on earth at the flood, did it include viruses, bacteria, and parasites? 

Or did Noah bring the viruses into the ark in twos?",christian|christians,Haaya
860,0,RT @brfootball: All thoughts and prayers with Christian Eriksen ? https://t.co/4SlWNZ6fVS,christian|christians,Haaya
868,0,"RT @OGBENI_BAMBAM: I cannot understand shit bcuz I am a Christian but My Love for these Citations is Loud, I have listened to it more than…",christian|christians,Haaya
885,0,RT @guardian: Proud Boys and other far-right groups raise millions via Christian funding site https://t.co/SucYJCezaG,christian|christians,Haaya
734,0,RT @042MP3_COM: Old Post Christian(Krissy O) – Bum Shot + Jogodo (Prod. by Password) http://t.co/9OB5HatsEQ,christian|christians,Haaya
864,0,RT @LekeAlder: 36. Christians must be involved in the media and culture space. They create societal and political context. #Illuminare,christian|christians,Haaya
873,0,"RT @Niifemi_nife: After what happened today to Christian Eriksen, you never know when but you might just save a life. Kindly Go through thi…",christian|christians,Haaya
114,3,@ged they must speak against the north and BH because christians have been killed in churches like cockroaches u know what I mean.,christian|christians,Haaya
877,3,Be like the Berean Christians! https://t.co/vfEOnSwvsk,christian|christians,Haaya
483,3,"@Pontifex_es People are waking up, they are no fool , you are a dictor support your depopulating the people of God which christians are they victim, supporting the movement of OWO these are mere human wickedness. Only if we start looking.out for one another, irrespective of who they are",christian|christians,Haaya
810,1,RT @DrOlufunmilayo: I’m a Christian. So I can tell you these hard things because many of you coconut heads love to believe in a lie than fa…,christian|christians,Haaya
246,3,"@osaze_troy You don't even need to be a Christian to know that their reactions leave much to be desired. Watching the ""I will tear him to pieces, he's a bastard etc"" made me cringe.
You de baff, mad man carry your towel de run enter street, you sef naked de pursue mad the man. O wrong nau.",christian|christians,Haaya
809,1,"Finally as a Christian??? let the holy ghost be your comforter in times of heart ache and heart break Cos men! If you don’t have Him it will be tough, most times the heartbreak is totally avoidable Cos he tells u before hand but you no dey hear word u get  coconut head!",christian|christians,Haaya
116,1,"@Geouguru @DONJAZZY I see how rotten your mentally is when you use the word cockroaches I won't stoop too low, I was raised better 
Humans and majority Christians where killed in the north and south no insect was harmed 
But the south is minimising the north is maximising.
It will get to you 1 day",christian|christians,Haaya
859,0,"RT @miztoluwani: So I went to this church today “Harvesters International Christian Centre” in Gbagada for the first time, the pastor made…",christian|christians,Haaya
338,2,@mouhammard @jack Teach you what you already know?? Only idiots like you thinks Christians have business with your dirty hijab fvcking disgusting extremist no wonder you come to somebody’s land and want to dominate fools,muslim|muslims|islam|islamic,Haaya
867,0,"RT @ihopkc: ""The man who mobilizes the Christian church to pray will make the greatest contribution to world evangelization in history."" 
-…",christian|christians,Haaya
374,0,"RT @DaleG3476: My mother, who is a devout Christian, just talked shit about “mother nature” for ruining the holiday weekend. 

I turned to…",christian|christians,Haaya
45,1,"RT @ternamuse: All those people who used the phrase ""Easter worshippers"" instead of christians, are pathetic scums of the earth.",christian|christians,Haaya
532,1,"@Oben_2020 @EmarIkoro @funshographix The christian crusaders came with peace, with the intention of  helping you access and worship ur maker in a more cleaner way.  Yes they were armed with guns. These weapons were for wild animals but your fathers, multivated by their gods(blood socking demonds) resisted and",christian|christians,Haaya
866,0,"RT @BBCSport: NO GOAL! 

Christian Pulisic thought he had levelled things up but VAR shows a clear offside. 

Still Chelsea 0-1 Arsenal.

#…",christian|christians,Haaya
204,0,"126 Yrs ago today Dial Square (Arsenal F.C.) Played its first ever game played on the Isle of Dogs beat Eastern Wanderers 6-0"" happy bufday",eastern|easterner|easterners|biafra,Haaya
1281,0,RT @AnyikingsI: A defensive referendum in Nigeria is for avoiding war and to help keep the Biafran people free of fear.God  bless Biafra  #…,eastern|easterner|easterners|biafra,Haaya
1282,0,"RT @andybes50484929: Everywhere is about Biafra,don’t keep calm #IPOB enjoy the dedicated support of a large group of freedom lovers around…",eastern|easterner|easterners|biafra,Haaya
