text,labels,score
RT @EmekaGift: Catholic Church in Nigeria protest the unabated killings of Christians by Fulani herdsmen and Boko Haram Islamic Extremists.â¦,0.0,"[0.4675494315121942, 0.13467657626932436, 0.3977739922184814]"
@WuraAina @PremiumTimesng I know it is more Christian than anything else. Don't worry Islam will take over soonest. When that happens you can heat your coconut head on the wall.,2.0,"[0.37394237412429276, 0.13786831235784594, 0.4881893135178613]"
RT @RadicalYouthMan: The Muslim-Christian violence reflects Nigeriaâs regional and religious divisions and long-standing expectation of shaâ¦,0.0,"[0.6644562180609405, 0.10580170611990275, 0.22974207581915668]"
"RT @emma_dele: You hate men
You despise women
Muslim men are bastards
Christian women are hoes/bitches 
APC is evil 
PDP is useless

You haâ¦",2.0,"[0.3988839654819589, 0.1393053948251933, 0.4618106396928477]"
"RT @mrviruze: vultures are #feeding fat in #Buhari government in NIGERIA, persecutions of CHRISTIAN COMMUNITIES both woman and children byâ¦",1.0,"[0.4309426270056906, 0.1353705700001739, 0.4336868029941355]"
"RT @CBNNews: There have been reports of more violence against Christians by Fulani herdsmen in Kaduna state in Nigeria. 
https://t.co/T2Kffâ¦",0.0,"[0.668435755880468, 0.10970680342031384, 0.2218574406992182]"
@DeeOneAyekooto @Yungplut1 Biafra herdsmen fools...,2.0,"[0.3904556787047721, 0.1264532984453521, 0.48309102284987576]"
"@wHIodeiPbvLpzS9 @martinslanre @TruthAdedoyin @debograffiti Ode, Your level of reasoning is low and appalling. What is biafra? Stop making everything tribal. There is insecurity everywhere and you are trying to make this look like an ethnical clash? You are a big fool.
I am Yoruba but I'm Nigerian first!",1.0,"[0.22070577808251746, 0.13962709601463086, 0.6396671259028516]"
"@OguguaChukwuma @General_Somto Arindin Biafra and oduduwa? Pls bear your fathers name. This attache by force is irritating. Can't you clowns do anything on your own without Yorubas? 

Bile filled morons",2.0,"[0.235649725727271, 0.1368672569213348, 0.6274830173513943]"
"Nnamdi Kanu: All Igbos Not In Support Of Biafra Are Pigs ,Evils and Child of Satan --Read More Click Here https://t.co/ekzhpqmi4u https://t.co/WK5XkW8vSP",2.0,"[0.7836096626608774, 0.08659779023779905, 0.12979254710132365]"
"@MistaPen @Sonni_011 @adamugarba Murtala wanted it but after listening to others that has brain (Murtala is dumb) he dropped the idea, if Biafra is limited to Igbo people, then we are better placed than the North cuz they are landlocked and don't really have anything. Al the resources they claim to have na audio",1.0,"[0.26896646879149516, 0.13517881252695185, 0.595854718681553]"
"@ta_fllexzy @Franklyn_NERD @DEXTER_lfc Pls add eastern girls in this ur generalization. No matter the tribe, just pray to find a good girl that's a real BITCHð",2.0,"[0.39472311834503737, 0.14108689245914718, 0.4641899891958156]"
"@AIT_Online Buhari's Gaddafi boys' blame....!
How come they are striking only in Nigeria? Only in core Christian States? Are they just Hausa/Fulani friendly?

Are our military and police dead sympathetic to Gaddafi?

This is Buhari's (Baba blame) blame excuse to some disgusting sore fault.",1.0,"[0.21778776572705869, 0.14241087271077, 0.6398013615621714]"
RT @MaziNnamdiKanu: To us the defence of the Eastern Region against marauding Fulani terrorists in the guise of herdsmen is of paramount imâ¦,2.0,"[0.48045176823915925, 0.13518719381883534, 0.3843610379420054]"
